Cd Boletim Silvicultura;Id Projeto;Cd Talhão;Manejo;Vlr Areá;Data Operação;Vlr Produção;Ano Operação;Custo Recurso por Hectare;Custo Total por Hectare;Custo de Operação por Área;Custo de Recurso por Área;Consistente
1;EUN-013;21;BRNY100;20,31;2023-01-26 00:00:00;1,14;2023;;;56;;
2;EUN-013;23;BRNY100;2,91;2023-01-26 00:00:00;1,4;2023;;;318,18;;
9;EUN-083;1;BRNY100;32,15;2023-04-18 00:00:00;32,15;2023;39,57;191,95;152,38;39,57;N
11;EUN-083;2;BRNY100;6,31;2023-04-18 00:00:00;6,31;2023;49,86;202,24;152,38;49,86;N
13;EUN-083;2;BRNY100;6,31;2023-04-18 00:00:00;6,31;2023;49,21;210,76;161,55;49,21;N
15;EUN-083;3;BRNY100;13,69;2023-04-18 00:00:00;13,69;2023;48,32;203,22;154,9;48,32;N
17;EUN-083;1;BRNY100;32,15;2023-04-18 00:00:00;32,15;2023;39,05;200,6;161,55;39,05;N
18;EUN-083;;;;2023-04-18 00:00:00;2;2023;;;;;
20;EUN-083;9;BRNY100;33,76;2023-04-18 00:00:00;33,71;2023;33,24;188,14;154,67;33,19;N
22;EUN-083;11;BRNY100;15,09;2023-04-18 00:00:00;15,02;2023;69,21;224,11;154,18;68,89;N
24;EUN-083;1;BRNY100;38,67;2023-04-18 00:00:00;38,56;2023;32,56;187,46;154,46;32,47;N
26;EUN-083;2;BRNY100;8,7;2023-04-18 00:00:00;6,51;2023;47,7;202,6;115,91;35,69;N
27;EUN-083;;;;2023-04-18 00:00:00;2,48;2023;;;;;
28;EUN-083;;;;2023-04-18 00:00:00;17,06;2023;;;;;
29;EUN-083;;;;2023-04-18 00:00:00;221,98;2023;;;;;
30;EUN-083;;;;2023-04-18 00:00:00;2,09;2023;;;;;
31;EUN-083;;;;2023-04-18 00:00:00;351;2023;;;;;
32;EUN-083;;;;2023-05-11 00:00:00;153;2023;;;;;
33;EUN-083;;;;2023-05-11 00:00:00;36;2023;;;;;
34;EUN-083;;;;2023-05-11 00:00:00;1;2023;;;;;
35;EUN-083;;;;2023-05-25 00:00:00;391;2023;;;;;
37;EUN-083;2;BRNY100;8,7;2023-06-10 00:00:00;2,7;2023;207,2;463,69;79,6;64,3;N
39;EUN-083;1;BRNY100;38,67;2023-06-12 00:00:00;8,6;2023;206,74;463,23;57,04;45,98;N
40;EUN-083;1;BRNY100;38,67;2023-06-13 00:00:00;14,9;2023;181,04;437,53;98,83;69,76;S
41;EUN-083;1;BRNY100;38,67;2023-06-15 00:00:00;7;2023;176,45;432,94;46,43;31,94;S
42;EUN-083;1;BRNY100;38,67;2023-06-16 00:00:00;7;2023;174,87;431,36;46,43;31,66;S
43;EUN-083;;;;2023-06-02 00:00:00;7,5;2023;;;;;
44;EUN-083;;;;2023-06-13 00:00:00;22;2023;;;;;
46;EUN-083;4;BRNY100;26,08;2023-06-11 00:00:00;14,2;2023;205,17;461,66;139,65;111,71;N
48;EUN-083;4;BRNY100;26,08;2023-06-11 00:00:00;7,2;2023;205,4;461,89;70,81;56,71;N
50;EUN-083;7;;5,58;2023-06-13 00:00:00;1,27;2023;44,65;168,57;28,2;10,16;N
52;EUN-083;6;BRNY100;8,68;2023-06-13 00:00:00;8,63;2023;45,37;169,29;123,21;45,1;N
54;EUN-083;14;BRNY100;7,66;2023-06-13 00:00:00;7,6;2023;46,54;170,46;122,95;46,17;N
56;EUN-083;12;BRNY100;1,8;2023-06-13 00:00:00;1,77;2023;44,24;168,16;121,85;43,5;N
58;EUN-083;24;BRNY100;0,59;2023-06-13 00:00:00;0,6;2023;45;168,92;126,02;45,76;N
60;EUN-083;23;BRNY100;3,54;2023-06-13 00:00:00;3,6;2023;44,25;168,17;126,02;45;N
